Date;num_of_date;num_of_patients;Date_test;num_of_date_test;num_of_patients_test
02/03/2020;41;2;;;
03/03/2020;42;2;;;
04/03/2020;43;2;;;
05/03/2020;44;2;;;
06/03/2020;45;4;;;
07/03/2020;46;4;;;
08/03/2020;47;6;;;
09/03/2020;48;19;;;
10/03/2020;49;27;;;
11/03/2020;50;34;;;
12/03/2020;51;34;;;
13/03/2020;52;69;;;
14/03/2020;53;96;;;
15/03/2020;54;117;;;
16/03/2020;55;134;;;
17/03/2020;56;172;;;
18/03/2020;57;227;;;
19/03/2020;58;311;;;
20/03/2020;59;369;;;
21/03/2020;60;450;;;
22/03/2020;61;514;;;
23/03/2020;62;579;;;
24/03/2020;63;686;;;
25/03/2020;64;790;;;
26/03/2020;65;893;;;
27/03/2020;66;1046;;;
28/03/2020;67;1155;;;
29/03/2020;68;1285;;;
30/03/2020;69;1414;;;
31/03/2020;70;1528;;;
01/04/2020;71;1677;;;
02/04/2020;72;1790;;;
03/04/2020;73;1986;;;
04/04/2020;74;2092;;;
05/04/2020;75;2273;;;
06/04/2020;76;2491;;;
07/04/2020;77;2738;;;
08/04/2020;78;2956;;;
09/04/2020;79;3293;;;
10/04/2020;80;3512;;;
11/04/2020;81;3842;;;
12/04/2020;82;4241;;;
13/04/2020;83;4557;;;
14/04/2020;84;4839;;;
15/04/2020;85;5136;;;
16/04/2020;86;5516;;;
17/04/2020;87;5923;;;
18/04/2020;88;6248;;;
19/04/2020;89;6575;;;
20/04/2020;90;6760;;;
21/04/2020;91;7135;;;
22/04/2020;92;7418;;;
23/04/2020;93;7775;;;
24/04/2020;94;8211;;;
25/04/2020;95;8607;;;
26/04/2020;96;8882;;;
27/04/2020;97;9096;;;
28/04/2020;98;9511;;;
29/04/2020;99;9771;;;
30/04/2020;100;10118;;;
01/05/2020;101;10551;;;
02/05/2020;102;10843;;;
03/05/2020;103;11192;;;
04/05/2020;104;11587;;;
05/05/2020;105;12071;;;
06/05/2020;106;12438;;;
07/05/2020;107;12776;;;
08/05/2020;108;13112;;;
09/05/2020;109;13645;;;
10/05/2020;110;14032;;;
11/05/2020;111;14265;;;
12/05/2020;112;14749;;;
13/05/2020;113;15438;;;
14/05/2020;114;16006;;;
15/05/2020;115;16496;;;
16/05/2020;116;17025;;;
17/05/2020;117;17514;;;
18/05/2020;118;18010;;;
19/05/2020;119;18496;;;
20/05/2020;120;19189;;;
21/05/2020;121;20162;;;
22/05/2020;122;20796;;;
23/05/2020;123;21745;;;
24/05/2020;124;22271;;;
25/05/2020;125;22750;;;
26/05/2020;126;23165;;;
27/05/2020;127;23851;;;
28/05/2020;128;24538;;;
29/05/2020;129;25216;;;
30/05/2020;130;25773;;;
